name,mfr,temp,calories,protein,fat,sodium,fiber,carbo,sugars,potassium,vitamins,shelf,weight,cups,rating
100% Bran,N,C,70,4,1,0.13,10,5,6,0.28,25,3,1,0.33,68.402973
100% Natural Bran,Q,C,120,3,5,0.015,2,8,8,0.135,0,3,1,1,33.983679
All-Bran,K,C,70,4,1,0.26,9,7,5,0.32,25,3,1,0.33,59.425505
All-Bran with Extra Fiber,K,C,50,4,0,0.14,14,8,0,0.33,25,3,1,0.5,93.704912
Almond Delight,R,C,110,2,2,0.2,1,14,8,0.33,25,3,1,0.75,34.384843
Apple Cinnamon Cheerios,G,C,110,2,2,0.18,1.5,10.5,10,0.07,25,1,1,0.75,29.509541
Apple Jacks,K,C,110,2,0,0.125,1,11,14,0.03,25,2,1,1,33.174094
Basic 4,G,C,130,3,2,0.21,2,18,8,0.1,25,3,1.33,0.75,37.038562
Bran Chex,R,C,90,2,1,0.2,4,15,6,0.125,25,1,1,0.67,49.120253
Bran Flakes,P,C,90,3,0,0.21,5,13,5,0.19,25,3,1,0.67,53.313813
Cap'n'Crunch,Q,C,120,1,2,0.22,0,12,12,0.035,25,2,1,0.75,18.042851
Cheerios,G,C,110,6,2,0.29,2,17,1,0.105,25,1,1,1.25,50.764999
Cinnamon Toast Crunch,G,C,120,1,3,0.21,0,13,9,0.045,25,2,1,0.75,19.823573
Clusters,G,C,110,3,2,0.14,2,13,7,0.105,25,3,1,0.5,40.400208
Cocoa Puffs,G,C,110,1,1,0.18,0,12,13,0.055,25,2,1,1,22.736446
Corn Chex,R,C,110,2,0,0.28,0,22,3,0.025,25,1,1,1,41.445019
Corn Flakes,K,C,100,2,0,0.29,1,21,2,0.035,25,1,1,1,45.863324
Corn Pops,K,C,110,1,0,0.09,1,13,12,0.02,25,2,1,1,35.782791
Count Chocula,G,C,110,1,1,0.18,0,12,13,0.065,25,2,1,1,22.396513
Cracklin' Oat Bran,K,C,110,3,3,0.14,4,10,7,0.16,25,3,1,0.5,40.448772
Cream of Wheat (Quick),N,H,100,3,0,0.08,1,21,0,0.001,0,2,1,1,64.533816
Crispix,K,C,110,2,0,0.22,1,21,3,0.03,25,3,1,1,46.895644
Crispy Wheat & Raisins,G,C,100,2,1,0.14,2,11,10,0.12,25,3,1,0.75,36.176196
Double Chex,R,C,100,2,0,0.19,1,18,5,0.08,25,3,1,0.75,44.330856
Froot Loops,K,C,110,2,1,0.125,1,11,13,0.03,25,2,1,1,32.207582
Frosted Flakes,K,C,110,1,0,0.2,1,14,11,0.025,25,1,1,0.75,31.435973
Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,0.1,25,2,1,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,0.16,5,12,10,0.2,25,3,1.25,0.67,40.917047
Fruitful Bran,K,C,120,3,0,0.24,5,14,12,0.19,25,3,1.33,0.67,41.015492
Fruity Pebbles,P,C,110,1,1,0.135,0,13,12,0.025,25,2,1,0.75,28.025765
Golden Crisp,P,C,100,2,0,0.045,0,11,15,0.04,25,1,1,0.88,35.252444
Golden Grahams,G,C,110,1,1,0.28,0,15,9,0.045,25,2,1,0.75,23.804043
Grape Nuts Flakes,P,C,100,3,1,0.14,3,15,5,0.085,25,3,1,0.88,52.076897
Grape-Nuts,P,C,110,3,0,0.17,3,17,3,0.09,25,3,1,0.25,53.371007
Great Grains Pecan,P,C,120,3,3,0.075,3,13,4,0.1,25,3,1,0.33,45.811716
Honey Graham Ohs,Q,C,120,1,2,0.22,1,12,11,0.045,25,2,1,1,21.871292
Honey Nut Cheerios,G,C,110,3,1,0.25,1.5,11.5,10,0.09,25,1,1,0.75,31.072217
Honey-comb,P,C,110,1,0,0.18,0,14,11,0.035,25,1,1,1.33,28.742414
Just Right Crunchy  Nuggets,K,C,110,2,1,0.17,1,17,6,0.06,100,3,1,1,36.523683
Just Right Fruit & Nut,K,C,140,3,1,0.17,2,20,9,0.095,100,3,1.3,0.75,36.471512
Kix,G,C,110,2,1,0.26,0,21,3,0.04,25,2,1,1.5,39.241114
Life,Q,C,100,4,2,0.15,2,12,6,0.095,25,2,1,0.67,45.328074
Lucky Charms,G,C,110,2,1,0.18,0,12,12,0.055,25,2,1,1,26.734515
Maypo,A,H,100,4,1,0,0,16,3,0.095,25,2,1,1,54.850917
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,0.095,3,16,11,0.17,25,3,1,1,37.136863
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,0.15,3,16,11,0.17,25,3,1,1,34.139765
Mueslix Crispy Blend,K,C,160,3,2,0.15,3,17,13,0.16,25,3,1.5,0.67,30.313351
Multi-Grain Cheerios,G,C,100,2,1,0.22,2,15,6,0.09,25,1,1,1,40.105965
Nut&Honey Crunch,K,C,120,2,1,0.19,0,15,9,0.04,25,2,1,0.67,29.924285
Nutri-Grain Almond-Raisin,K,C,140,3,2,0.22,3,21,7,0.13,25,3,1.33,0.67,40.69232
Nutri-grain Wheat,K,C,90,3,0,0.17,3,18,2,0.09,25,3,1,1,59.642837
Oatmeal Raisin Crisp,G,C,130,3,2,0.17,1.5,13.5,10,0.12,25,3,1.25,0.5,30.450843
Post Nat. Raisin Bran,P,C,120,3,1,0.2,6,11,14,0.26,25,3,1.33,0.67,37.840594
Product 19,K,C,100,3,0,0.32,1,20,3,0.045,100,3,1,1,41.50354
Puffed Rice,Q,C,50,1,0,0,0,13,0,0.015,0,3,0.5,1,60.756112
Puffed Wheat,Q,C,50,2,0,0,1,10,0,0.05,0,3,0.5,1,63.005645
Quaker Oat Squares,Q,C,100,4,1,0.135,2,14,6,0.11,25,3,1,0.5,49.511874
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,0.11,0,1,1,0.67,50.828392
Raisin Bran,K,C,120,3,1,0.21,5,14,12,0.24,25,2,1.33,0.75,39.259197
Raisin Nut Bran,G,C,100,3,2,0.14,2.5,10.5,8,0.14,25,3,1,0.5,39.7034
Raisin Squares,K,C,90,2,0,0,2,15,6,0.11,25,3,1,0.5,55.333142
Rice Chex,R,C,110,1,0,0.24,0,23,2,0.03,25,1,1,1.13,41.998933
Rice Krispies,K,C,110,2,0,0.29,0,22,3,0.035,25,1,1,1,40.560159
Shredded Wheat,N,C,80,2,0,0,3,16,0,0.095,0,1,0.83,1,68.235885
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,0.14,0,1,1,0.67,74.472949
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,0.12,0,1,1,0.67,72.801787
